id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
104858489,5394543999,5394544000,106.73739135932037,1,1,1,2,2,"LINESTRING(-75.2211154 -12.0585886, -75.2202825 -12.0580827)"
104858489,5394544000,5394544001,106.9198650918708,1,1,1,2,2,"LINESTRING(-75.2202825 -12.0580827, -75.2194482 -12.0575759)"
104858489,5394544001,5394543998,51.43962695910006,1,1,1,2,2,"LINESTRING(-75.2194482 -12.0575759, -75.2190468 -12.0573321)"
104858489,5394543998,5394544002,57.7120673781984,1,1,1,2,2,"LINESTRING(-75.2190468 -12.0573321, -75.2185965 -12.0570585)"
104858489,5394544002,5394543976,45.206597380657136,1,1,1,2,2,"LINESTRING(-75.2185965 -12.0570585, -75.2182720 -12.0568051)"
104858489,5394543976,1209249131,58.60532162067809,1,1,1,2,2,"LINESTRING(-75.2182720 -12.0568051, -75.2178514 -12.0564765)"
104860411,1043251560,1209248504,699.6368925911676,1,4,0,2,0,"LINESTRING(-75.2220800 -12.0496796, -75.2217428 -12.0502206, -75.2214852 -12.0506340, -75.2212607 -12.0509905, -75.2211023 -12.0512454, -75.2206242 -12.0520147, -75.2203614 -12.0524376, -75.2201623 -12.0527579, -75.2196847 -12.0535252, -75.2193018 -12.0541426, -75.2192811 -12.0541759, -75.2192352 -12.0542497, -75.2189947 -12.0546367, -75.2187388 -12.0550484)"
104860411,1209248504,1209251752,98.8814575014661,1,4,0,2,0,"LINESTRING(-75.2187388 -12.0550484, -75.2182671 -12.0558075)"
104860411,1209251752,1209249131,87.14413708881396,1,4,0,2,0,"LINESTRING(-75.2182671 -12.0558075, -75.2178514 -12.0564765)"
104860411,1209249131,5394543996,122.3784511718377,1,4,0,2,0,"LINESTRING(-75.2178514 -12.0564765, -75.2176145 -12.0568576, -75.2173651 -12.0572589, -75.2172663 -12.0574152)"
104860411,5394543996,1209257951,372.8345030053636,1,4,0,2,0,"LINESTRING(-75.2172663 -12.0574152, -75.2169577 -12.0579033, -75.2165540 -12.0585418, -75.2161656 -12.0591562, -75.2158111 -12.0597168, -75.2154652 -12.0602639)"
559266492,1209252592,5394543994,151.96200070396813,1,1,1,2,2,"LINESTRING(-75.2218439 -12.0598843, -75.2214345 -12.0599022, -75.2213855 -12.0598928, -75.2213312 -12.0598720, -75.2211353 -12.0597708, -75.2210608 -12.0597264, -75.2205740 -12.0594382)"
559266492,5394543994,5394533448,107.07785834772845,1,1,1,2,2,"LINESTRING(-75.2205740 -12.0594382, -75.2197326 -12.0589400)"
559266492,5394533448,5394533445,105.56254293954805,1,1,1,2,2,"LINESTRING(-75.2197326 -12.0589400, -75.2189134 -12.0584326)"
559266492,5394533445,5394543997,110.39826109934354,1,1,1,2,2,"LINESTRING(-75.2189134 -12.0584326, -75.2180560 -12.0579030)"
559266492,5394543997,5394543996,101.68240366871778,1,1,1,2,2,"LINESTRING(-75.2180560 -12.0579030, -75.2172663 -12.0574152)"
559266492,5394543996,5394543995,5.803646822437103,1,1,1,2,2,"LINESTRING(-75.2172663 -12.0574152, -75.2172212 -12.0573874)"
559266514,5394533463,5394544017,537.2392143884056,1,1,1,2,2,"LINESTRING(-75.2222675 -12.0515531, -75.2221307 -12.0516717, -75.2220033 -12.0518343, -75.2215215 -12.0525610, -75.2212283 -12.0530033, -75.2210289 -12.0533041, -75.2205336 -12.0540512, -75.2201354 -12.0546905, -75.2200886 -12.0547620, -75.2198034 -12.0551977, -75.2195555 -12.0555764)"
559266514,5394544017,1209256161,94.39246767951887,1,1,1,2,2,"LINESTRING(-75.2195555 -12.0555764, -75.2190881 -12.0562906)"
559266514,1209256161,5394544002,100.85246317107875,1,1,1,2,2,"LINESTRING(-75.2190881 -12.0562906, -75.2185965 -12.0570585)"
559266514,5394544002,5394543992,55.15628947035016,1,1,1,2,2,"LINESTRING(-75.2185965 -12.0570585, -75.2183277 -12.0574785)"
559266514,5394543992,9427160616,10.834268290007632,1,1,1,2,2,"LINESTRING(-75.2183277 -12.0574785, -75.2182749 -12.0575610)"
559266514,9427160616,5394543997,44.91411187528338,1,1,1,2,2,"LINESTRING(-75.2182749 -12.0575610, -75.2180560 -12.0579030)"
559266514,5394543997,5394533442,373.85296788071525,1,1,1,2,2,"LINESTRING(-75.2180560 -12.0579030, -75.2173283 -12.0590384, -75.2169448 -12.0596391, -75.2165837 -12.0602033, -75.2162339 -12.0607497)"
559266518,5394533474,5394533443,494.7788197432093,1,1,1,2,2,"LINESTRING(-75.2228189 -12.0521790, -75.2224794 -12.0526711, -75.2222684 -12.0530157, -75.2219768 -12.0534918, -75.2217958 -12.0537874, -75.2213326 -12.0545438, -75.2209444 -12.0551777, -75.2209008 -12.0552489, -75.2206192 -12.0557001, -75.2204499 -12.0559713)"
559266518,5394533443,5394544016,17.037397068773288,1,1,1,2,2,"LINESTRING(-75.2204499 -12.0559713, -75.2203683 -12.0561019)"
559266518,5394544016,5394543982,33.86986861809847,1,1,1,2,2,"LINESTRING(-75.2203683 -12.0561019, -75.2202062 -12.0563616)"
559266518,5394543982,5394533444,56.93049838486538,1,1,1,2,2,"LINESTRING(-75.2202062 -12.0563616, -75.2199337 -12.0567981)"
559266518,5394533444,5394544005,42.00522068296542,1,1,1,2,2,"LINESTRING(-75.2199337 -12.0567981, -75.2197327 -12.0571202)"
559266518,5394544005,5394544001,59.43539130172527,1,1,1,2,2,"LINESTRING(-75.2197327 -12.0571202, -75.2194482 -12.0575759)"
559266518,5394544001,5394543990,55.68746220132311,1,1,1,2,2,"LINESTRING(-75.2194482 -12.0575759, -75.2191817 -12.0580029)"
559266518,5394543990,5394533445,56.04607597486283,1,1,1,2,2,"LINESTRING(-75.2191817 -12.0580029, -75.2189134 -12.0584326)"
559266519,5394533481,5394547723,473.6410369028735,1,1,1,2,2,"LINESTRING(-75.2236539 -12.0529783, -75.2233992 -12.0532573, -75.2231911 -12.0535775, -75.2226888 -12.0543503, -75.2224654 -12.0546941, -75.2224279 -12.0547518, -75.2222104 -12.0550865, -75.2218116 -12.0557001, -75.2217673 -12.0557682, -75.2214188 -12.0563115, -75.2212752 -12.0565354)"
559266519,5394547723,5394533447,100.84574235597398,1,1,1,2,2,"LINESTRING(-75.2212752 -12.0565354, -75.2207829 -12.0573028)"
559266519,5394533447,5394544007,44.28640561783482,1,1,1,2,2,"LINESTRING(-75.2207829 -12.0573028, -75.2205667 -12.0576398)"
559266519,5394544007,5394544000,58.2065949365445,1,1,1,2,2,"LINESTRING(-75.2205667 -12.0576398, -75.2202825 -12.0580827)"
559266519,5394544000,5394543991,56.20048838957555,1,1,1,2,2,"LINESTRING(-75.2202825 -12.0580827, -75.2200082 -12.0585104)"
559266519,5394543991,5394533448,56.454838305880294,1,1,1,2,2,"LINESTRING(-75.2200082 -12.0585104, -75.2197326 -12.0589400)"
559266520,5394533487,5394543975,458.25269748402076,1,1,1,2,2,"LINESTRING(-75.2243543 -12.0536121, -75.2240350 -12.0540913, -75.2235177 -12.0548727, -75.2230377 -12.0555979, -75.2228356 -12.0559032, -75.2226399 -12.0561989, -75.2225909 -12.0562730, -75.2220794 -12.0570756)"
559266520,5394543975,5394533449,94.92027591031638,1,1,1,2,2,"LINESTRING(-75.2220794 -12.0570756, -75.2216183 -12.0577993)"
559266520,5394533449,5394544009,52.34675285306468,1,1,1,2,2,"LINESTRING(-75.2216183 -12.0577993, -75.2213640 -12.0581984)"
559266520,5394544009,5394543999,51.17771672608128,1,1,1,2,2,"LINESTRING(-75.2213640 -12.0581984, -75.2211154 -12.0585886)"
559266520,5394543999,5394543993,56.71335096507537,1,1,1,2,2,"LINESTRING(-75.2211154 -12.0585886, -75.2208399 -12.0590210)"
559266520,5394543993,5394543994,54.72457104186933,1,1,1,2,2,"LINESTRING(-75.2208399 -12.0590210, -75.2205740 -12.0594382)"
559266520,5394543994,5394533450,33.039275077356656,1,1,1,2,2,"LINESTRING(-75.2205740 -12.0594382, -75.2204135 -12.0596901)"
559267879,5394543977,5394543976,34.16511609672379,1,1,1,2,2,"LINESTRING(-75.2185735 -12.0567199, -75.2182720 -12.0568051)"
559267883,5394543983,5394543982,36.761134161051956,1,1,1,2,2,"LINESTRING(-75.2204957 -12.0565316, -75.2202062 -12.0563616)"
559267884,5394543993,5394543991,106.90357579959215,1,1,1,2,2,"LINESTRING(-75.2208399 -12.0590210, -75.2200082 -12.0585104)"
559267884,5394543991,5394543990,106.24080136573859,1,1,1,2,2,"LINESTRING(-75.2200082 -12.0585104, -75.2191817 -12.0580029)"
559267884,5394543990,5394543992,109.77671652282044,1,1,1,2,2,"LINESTRING(-75.2191817 -12.0580029, -75.2183277 -12.0574785)"
559267886,1209259338,5394543998,100.94692953859976,1,1,1,2,2,"LINESTRING(-75.2195249 -12.0565551, -75.2190468 -12.0573321)"
559267887,5394544004,5394544003,56.10978180549594,1,1,1,2,2,"LINESTRING(-75.2214079 -12.0570883, -75.2210919 -12.0574865)"
559267888,5394544009,5394544007,107.21548652175491,1,1,1,2,2,"LINESTRING(-75.2213640 -12.0581984, -75.2205992 -12.0576877, -75.2205667 -12.0576398)"
559267888,5394544007,5394544005,108.10514705307929,1,1,1,2,2,"LINESTRING(-75.2205667 -12.0576398, -75.2205147 -12.0575788, -75.2197327 -12.0571202)"
1022153482,9427160616,9427160615,40.815959293267404,1,1,1,2,2,"LINESTRING(-75.2182749 -12.0575610, -75.2179646 -12.0573552)"
