id,lon,lat
842910168,-77.0668357,-12.0070465
844536150,-77.0846109,-12.0093537
9699280695,-77.0913702,-12.022858399999999
6433491570,-77.1035508,-12.0139868
1359116226,-77.09597339999999,-11.999836499999999
1359116398,-77.0899075,-12.001868499999999
31069593,-77.10656469999999,-12.0215838
848387328,-77.1020061,-12.0234141
4403280194,-77.1099435,-11.9972327
847733073,-77.1046977,-12.0054226
847511607,-77.08736139999999,-12.0302484
847503161,-77.0824966,-12.0305118
844545656,-77.10061979999999,-12.0090547
5570055683,-77.0694376,-12.0246677
844536356,-77.08260969999999,-12.012226799999999
5576912776,-77.0997501,-12.001254999999999
846730597,-77.06778039999999,-12.030538799999999
4357955935,-77.073028,-12.005991499999999
844560814,-77.10246649999999,-12.0053734
1359116053,-77.1035146,-11.9986903
9170994952,-77.09263059999999,-12.013146599999999
9699307339,-77.0988429,-12.0240963
560581367,-77.0866449,-12.0211621
846634387,-77.08200599999999,-12.0252714
1359116808,-77.0911094,-12.007288599999999
2470149602,-77.081441,-12.0071966
560581382,-77.0664529,-12.0283131
1359115791,-77.0742052,-11.9970663
1359115258,-77.0911589,-11.994968
1756599726,-77.06818559999999,-12.0256223
847692740,-77.0817605,-12.013172299999999
4643556469,-77.06472169999999,-12.0204224
273431213,-77.09956559999999,-12.0055315
4721415865,-77.1058525,-12.0224757
5605715953,-77.0661396,-12.0207705
1273660623,-77.11119479999999,-12.002127
5096576177,-77.0774861,-12.004501699999999
4403379690,-77.10013839999999,-12.006982299999999
844463770,-77.0787959,-12.0085003
9740583454,-77.1093702,-12.008417699999999
4368051789,-77.0881045,-12.0204495
847669836,-77.07663939999999,-12.021630799999999
6433518317,-77.1005717,-12.0133107
846535392,-77.0719725,-12.0264141
4436799822,-77.1011481,-12.0265525
7009950057,-77.0672853,-12.0093623
4357962685,-77.07042659999999,-12.0055865
1359115374,-77.10250889999999,-11.995657399999999
301458064,-77.0627975,-12.0046977
3918714835,-77.1064591,-12.023224599999999
846781955,-77.0842436,-12.0295773
4403379695,-77.0997012,-12.006918899999999
2861290023,-77.09161979999999,-12.016214399999999
844548199,-77.0991818,-12.0110181
3401281244,-77.08973189999999,-11.9958862
6030054272,-77.1109457,-12.009538
2397222754,-77.09438949999999,-12.028051699999999
5096576178,-77.0773988,-12.004213799999999
1359116040,-77.0897925,-11.998564
4403379692,-77.10094169999999,-12.0073522
