id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
14341802,138800988,138800990,138.90398931485137,1,1,1,2,2,"LINESTRING(-77.0615076 -12.0321235, -77.0602427 -12.0322865)"
14341802,138800990,138800992,15.56684367412221,1,1,1,2,2,"LINESTRING(-77.0602427 -12.0322865, -77.0601005 -12.0323011)"
14341802,138800992,2737460736,112.73508833534328,1,1,1,2,2,"LINESTRING(-77.0601005 -12.0323011, -77.0590761 -12.0324488)"
14341802,2737460736,138800998,30.135974083202072,1,1,1,2,2,"LINESTRING(-77.0590761 -12.0324488, -77.0588004 -12.0324729)"
14341807,138800998,138801004,71.58546645107454,1,1,1,2,2,"LINESTRING(-77.0588004 -12.0324729, -77.0587358 -12.0324581, -77.0586808 -12.0324226, -77.0585188 -12.0321513, -77.0585061 -12.0321123, -77.0585041 -12.0320991, -77.0585056 -12.0320846, -77.0585157 -12.0320435, -77.0585583 -12.0319655)"
14341808,138801004,138801009,48.08757110366502,1,1,1,2,2,"LINESTRING(-77.0585583 -12.0319655, -77.0585657 -12.0319570, -77.0585737 -12.0319500, -77.0586094 -12.0319263, -77.0586213 -12.0319214, -77.0587391 -12.0318934, -77.0589796 -12.0318650)"
14341808,138801009,4435018844,107.86635437022268,1,1,1,2,2,"LINESTRING(-77.0589796 -12.0318650, -77.0599628 -12.0317456)"
14341808,4435018844,138801011,3.562683603049145,1,1,1,2,2,"LINESTRING(-77.0599628 -12.0317456, -77.0599950 -12.0317399)"
14341810,138801022,138801024,152.5482797941394,1,1,1,2,2,"LINESTRING(-77.0660598 -12.0303566, -77.0657036 -12.0304002, -77.0646698 -12.0305291)"
14341810,138801024,846730621,8.901116506801973,1,1,1,2,2,"LINESTRING(-77.0646698 -12.0305291, -77.0645892 -12.0305425)"
14341810,846730621,138801025,47.97255049597662,1,1,1,2,2,"LINESTRING(-77.0645892 -12.0305425, -77.0641534 -12.0306061)"
14341810,138801025,138801026,95.11328741095127,1,1,1,2,2,"LINESTRING(-77.0641534 -12.0306061, -77.0632871 -12.0307164)"
14341810,138801026,138801027,104.77939065420594,1,1,1,2,2,"LINESTRING(-77.0632871 -12.0307164, -77.0623330 -12.0308397)"
14341810,138801027,138801028,112.23536045445144,1,1,1,2,2,"LINESTRING(-77.0623330 -12.0308397, -77.0613132 -12.0309871)"
14341810,138801028,138801029,158.84746184400694,1,1,1,2,2,"LINESTRING(-77.0613132 -12.0309871, -77.0598664 -12.0311713)"
14341810,138801029,138801031,107.46280447114988,1,1,1,2,2,"LINESTRING(-77.0598664 -12.0311713, -77.0588860 -12.0312831)"
14341810,138801031,138801035,87.38375877927442,1,1,1,2,2,"LINESTRING(-77.0588860 -12.0312831, -77.0586974 -12.0312998, -77.0586576 -12.0313038, -77.0586124 -12.0313091, -77.0585531 -12.0313195, -77.0584809 -12.0313341, -77.0584435 -12.0313464, -77.0584079 -12.0313604, -77.0583679 -12.0313789, -77.0583294 -12.0313984, -77.0582967 -12.0314161, -77.0582649 -12.0314343, -77.0582308 -12.0314563, -77.0582011 -12.0314769, -77.0581708 -12.0314974, -77.0581362 -12.0315170)"
14341810,138801035,560581405,77.45135374794519,1,1,1,2,2,"LINESTRING(-77.0581362 -12.0315170, -77.0580767 -12.0315497, -77.0580173 -12.0315789, -77.0579472 -12.0316087, -77.0578754 -12.0316380, -77.0577868 -12.0316740, -77.0576971 -12.0317127, -77.0576491 -12.0317330, -77.0576011 -12.0317509, -77.0575506 -12.0317687, -77.0575177 -12.0317776, -77.0574814 -12.0317844)"
44114123,31069917,5667492124,16.989919509855934,1,3,0,2,0,"LINESTRING(-77.0581972 -12.0329423, -77.0583520 -12.0329230)"
44114123,5667492124,2737460737,84.80037128419058,1,3,0,2,0,"LINESTRING(-77.0583520 -12.0329230, -77.0591245 -12.0328256)"
44114123,2737460737,7068185222,106.19785905688411,1,3,0,2,0,"LINESTRING(-77.0591245 -12.0328256, -77.0600909 -12.0326961)"
44114123,7068185222,138803189,8.274195159271178,1,3,0,2,0,"LINESTRING(-77.0600909 -12.0326961, -77.0601664 -12.0326876)"
44114123,138803189,138803190,15.022399624720439,1,3,0,2,0,"LINESTRING(-77.0601664 -12.0326876, -77.0603027 -12.0326666)"
44114123,138803190,7068185220,8.921244994007447,1,3,0,2,0,"LINESTRING(-77.0603027 -12.0326666, -77.0603841 -12.0326574)"
44114123,7068185220,9832277153,121.30713391846685,1,3,0,2,0,"LINESTRING(-77.0603841 -12.0326574, -77.0614878 -12.0325081)"
44114123,9832277153,138803191,8.980347715377462,1,3,0,2,0,"LINESTRING(-77.0614878 -12.0325081, -77.0615695 -12.0324970)"
44114123,138803191,9832277157,9.336343038283585,1,3,0,2,0,"LINESTRING(-77.0615695 -12.0324970, -77.0616545 -12.0324859)"
44114123,9832277157,9832277142,91.6517391839555,1,3,0,2,0,"LINESTRING(-77.0616545 -12.0324859, -77.0624895 -12.0323813)"
44114123,9832277142,138803193,7.935031497046548,1,3,0,2,0,"LINESTRING(-77.0624895 -12.0323813, -77.0625618 -12.0323723)"
44114123,138803193,9832277147,6.597744680756608,1,3,0,2,0,"LINESTRING(-77.0625618 -12.0323723, -77.0626219 -12.0323647)"
44114123,9832277147,9832277137,88.18610280490665,1,3,0,2,0,"LINESTRING(-77.0626219 -12.0323647, -77.0634252 -12.0322631)"
44114123,9832277137,138803194,9.78182114040184,1,3,0,2,0,"LINESTRING(-77.0634252 -12.0322631, -77.0635143 -12.0322518)"
44114123,138803194,9832277133,10.35901433903728,1,3,0,2,0,"LINESTRING(-77.0635143 -12.0322518, -77.0636085 -12.0322387)"
44114123,9832277133,9832277127,126.26133764464001,1,3,0,2,0,"LINESTRING(-77.0636085 -12.0322387, -77.0647123 -12.0320855, -77.0647567 -12.0320793)"
44114123,9832277127,846730628,6.366357898516672,1,3,0,2,0,"LINESTRING(-77.0647567 -12.0320793, -77.0648146 -12.0320713)"
44114125,560581407,560581411,61.573458604636336,0,6,0,0,0,"LINESTRING(-77.0556005 -12.0318216, -77.0559994 -12.0314295)"
